"anonid" "age_bin" "genderFM" "syn_selfreport" "ConsistencyScore" "SynStatus" "r" "StructureScore" "p-value"
"1" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "[18,28]" "female" "dunno" 85.0759235949475 "Syn" 0.750930482162 "z-score" 0
"2" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "(58,68]" "female" NA 225.311416678431 "NonSyn" 0.0207942093008 "z-score" 0.2705
"3" "0086e9c0-418c-404c-8f3c-219de93cc3dc" "(38,48]" NA NA 204.759863366497 "NonSyn" -0.0153882308371 "z-score" 0.7294
"4" "00879596-4a24-4341-8cc3-6a74d8efa87c" "(38,48]" "female" "dunno" 156.48046029212 "NonSyn" 0.141110711735 "z-score" 0.0366
"5" "009f9049-bb4f-4dec-a889-2a408d9b7fc4" "[18,28]" "female" "no" 84.6598710683108 "Syn" 0.571028910275 "z-score" 1e-04
"6" "00ac0df1-ee81-4357-86c9-ce8691a6a4f1" "(48,58]" "male" "no" 170.718473406497 "NonSyn" 0.52040017944 "z-score" 0
"7" "00b4da40-ea5b-490d-811f-b556e99d9b38" "(68,78]" "female" "no" 250.530302597228 "NonSyn" 0.152995503198 "z-score" 0.0249
"8" "0127d04d-0070-4bec-a004-2e658edac121" "(58,68]" "female" "dunno" 226.762001863685 "NonSyn" 0.652071514758 "z-score" 0
"9" "0196a07a-6b95-4790-984a-cf695cfa2082" "(28,38]" "female" "dunno" 121.488766760405 "Syn" 0.0255287966018 "z-score" 0.3359
"10" "01be43fe-de30-4c99-b5a0-225c2df2a574" "(48,58]" "female" "no" 105.664521325884 "Syn" 0.250895599377 "z-score" 7e-04
"11" "01c1fe76-43df-46b1-bb06-7fc7e091d05d" "[18,28]" "female" "no" 89.3206344218999 "Syn" 0.396195835709 "z-score" 0.0054
"12" "01c7a456-204d-4740-b7f5-c5ca5bd452c6" "(48,58]" "male" "dunno" 256.096964895322 "NonSyn" 0.0748577858788 "z-score" 0.0396
"13" "01e403e4-891b-4e28-bc9b-76eb7587b713" "[18,28]" "female" "dunno" 139.489185257296 "NonSyn" 0.658915889471 "z-score" 0
"14" "01e8370f-22a2-434a-b86b-ebfc65f28327" "(48,58]" "female" "dunno" 63.2728166551396 "Syn" -0.0492401976653 "z-score" 0.9645
"15" "02fdffcf-02bc-4e4f-8a66-28c40b0336aa" "(38,48]" "female" "dunno" 5.81480545126838 "Syn" -0.0320942120143 "z-score" 0
"16" "02ffadc7-35bf-4d55-a2c2-394a58d8530d" NA NA NA 57.8487360022074 "Syn" 0.635974594548 "z-score" 4e-04
"17" "030a878b-b37d-41ab-8efe-5f68a0a6315b" "(28,38]" "female" "dunno" 273.436759576517 "NonSyn" 0.0819805142767 "z-score" 0.1025
"18" "032bb846-3cf1-46ff-af1d-549fa8f14e4f" "(48,58]" "female" "dunno" 187.761059304349 "NonSyn" 0.598885220277 "z-score" 0
"19" "03819690-8e68-4986-a942-53b888392b0b" NA NA NA 195.664113166112 "NonSyn" 0.264623165362 "z-score" 0.0078
"20" "0394e957-9140-4de9-a6f1-31e7f8c03454" "(28,38]" "female" "dunno" 260.826899421448 "NonSyn" 0.0675392630767 "z-score" 0.1317
"21" "03a73cf5-3669-4f73-8ad8-d8f25e2bd4e6" "(38,48]" "male" "dunno" 174.679040013551 "NonSyn" 0.574070586501 "z-score" 0
"22" "0464f568-aedb-4ef5-bfdd-ef1b4c18eb75" "(48,58]" "female" "dunno" 139.534110064881 "NonSyn" 0.542078066993 "z-score" 4e-04
"23" "04709f53-0242-4367-a9ff-f33a75cbd45e" "(28,38]" "male" "dunno" 266.680649068814 "NonSyn" 0.00380341445454 "z-score" 0.5342
"24" "0471ff6d-b537-486d-aedb-229bc4d57788" NA NA NA 193.319054773489 "NonSyn" 0.317898951457 "z-score" 0.0016
"25" "04775b3b-8304-4890-bd56-325750ccdef6" "(28,38]" "male" "dunno" 256.370654675085 "NonSyn" 0.308582649841 "z-score" 0.0023
"26" "0488bc87-01de-4529-96c3-9445dd68d925" NA NA NA 191.756076673914 "NonSyn" 0.155552511638 "z-score" 0.0462
"27" "04b421fe-ad8b-4b81-ba03-f531c91cdb14" "(48,58]" "female" "no" 267.947877111451 "NonSyn" 0.155531125009 "z-score" 2e-04
"28" "04cef2ea-a781-42cc-9be7-dbd806056717" "(28,38]" "female" "no" 293.076523242543 "NonSyn" 0.0587279192164 "z-score" 0.1494
"29" "05113ff2-4f53-4d37-b4b6-ae7a4ae23a6a" "[18,28]" "female" "no" 177.303542368544 "NonSyn" 0.485978109129 "z-score" 1e-04
"30" "057b5822-8637-47ec-8922-ebbb592654b8" "(38,48]" NA NA 271.60968126764 "NonSyn" -0.0120659578972 "z-score" 0.6059
"31" "05ef70e0-e190-492d-bb53-c4ad79cc6d5b" "(48,58]" "female" "dunno" 150.127881859235 "NonSyn" 0.156055423451 "z-score" 0.0212
"32" "0604eed4-7fbf-495f-ae97-7a77652630f5" "(48,58]" "female" "dunno" 115.114392810506 "Syn" -0.00902924890196 "z-score" 0.5887
"33" "065812b8-8fc3-4214-a029-7a126a8f2006" "(48,58]" "female" "no" 246.71716123392 "NonSyn" 0.262037176217 "z-score" 0.0015
"34" "0659e586-e8bc-4b72-a59b-5e399c567c02" "(58,68]" "female" "dunno" 170.45117236098 "NonSyn" 0.398047196615 "z-score" 0.0014
"35" "06644552-815c-47ad-a1a4-d774ac61f1e8" "(48,58]" "female" "no" 38.0621150893775 "Syn" -0.0352717129423 "z-score" 0.7882
"36" "06d76bde-b017-4770-b965-83445bc02a9e" "(38,48]" NA "dunno" 281.952252691281 "NonSyn" -0.01229626409 "z-score" 0.5009
"37" "06da1a26-f391-4f4b-8b89-46266b25bbb0" "[18,28]" "female" "no" 142.888396017514 "NonSyn" 0.632186998707 "z-score" 0
