"anonid" "setname" "item" "color1" "color2" "color3" "timing1" "timing2" "timing3"
"1" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "12" "#A82816" "#B2282B" "#BB322B" 18689 6599 5893
"2" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "09" "#3C3899" "#F44E50" "#EE5A3D" 12561 4046 7648
"3" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "14" "#9A4B37" "#973933" "#A15042" 10586 4480 9060
"4" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "13" "#963B30" "#AE4F3F" "#8E2026" 9186 8701 8250
"5" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "08" "#3030CF" "#71A7F7" "#6F8BF8" 10823 5662 10079
"6" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "02" "#42A73F" "#23F00F" "#68F557" 17082 2121 4821
"7" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "03" "#A0E31C" "#C6E32D" "#C1F035" 21978 10492 3689
"8" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "11" "#F35F51" "#ED302C" "#F86566" 14704 8380 3775
"9" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "05" "#FBFB70" "#EEF552" "#F0F34C" 6470 4670 3487
"10" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "15" "#7D5B38" "#80562D" "#855734" 14103 13377 8782
"11" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "01" "#23EA15" "#25F20D" "#1BF609" 3827 1964 1727
"12" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "06" "#F6F264" "#F2F167" "#78E20C" 10370 5486 3592
"13" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "04" "#F7F608" "#D2F339" "#B8EE11" 8774 4385 12194
"14" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "10" "#FA7457" "#F3484A" "#F0625B" 8372 4030 4107
"15" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "16" "#27E51A" "#2EEE11" "#12ED14" 3151 5358 1694
"16" "0045dbc0-8936-4c47-b8a2-333f29f3a505" "set1" "07" "#0EEAF1" "#17E8B4" "#A0EE11" 8907 15695 3408
"17" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "12" "#0568CE" "#464D34" "#4F9F24" 8895 1380 1147
"18" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "09" "#19279E" "#AD3622" "#622E28" 2601 1888 676
"19" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "14" "#1A6267" "#909A74" "#2D8984" 1964 316 852
"20" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "13" "#3D6336" "#644846" "#557528" 1189 2050 1248
"21" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "08" "#073C0F" "#484257" "#4E6348" 1087 1681 720
"22" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "02" "#A2267F" "#898E74" "#5FE91C" 3107 888 334
"23" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "03" "#2E8692" "#785CA0" "#92138E" 934 1163 343
"24" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "11" "#978C2C" "#920A86" "#62645F" 1248 393 942
"25" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "05" "#3B4749" "#04FA93" "#27014E" 776 662 925
"26" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "15" "#029440" "#3C551B" "#7A985E" 1546 523 796
"27" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "01" "#67537F" "#659A59" "#AD8B4C" 1953 315 916
"28" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "06" "#4B4640" "#655204" "#4B7A2E" 764 623 4486
"29" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "04" "#636F65" "#61605F" "#D42333" 4279 1803 1047
"30" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "10" "#95703F" "#4A5758" "#37BA1F" 1046 217 561
"31" "005c48a4-acb7-4e25-8e4a-447e08a2dc85" "set1" "16" "#8BCA20" "#10E40C" "#867A8E" 849 2686 441
